s1,s2,s0,accuracy
12,15,19,0.816666667
12,24,42,0.816666667
15,9,19,0.816666667
15,18,18,0.816666667
15,21,27,0.816666667
18,15,18,0.816666667
18,15,27,0.816666667
21,18,42,0.816666667
21,21,42,0.816666667
21,24,24,0.816666667
24,6,48,0.816666667
24,15,42,0.816666667
24,24,42,0.816666667
3,24,42,0.813888889
6,12,24,0.813888889
6,21,42,0.813888889
9,9,16,0.813888889
9,15,19,0.813888889
9,24,24,0.813888889
9,24,42,0.813888889
12,3,18,0.813888889
12,24,48,0.813888889
15,6,27,0.813888889
15,15,19,0.813888889
18,9,18,0.813888889
18,21,42,0.813888889
18,24,48,0.813888889
21,3,27,0.813888889
21,9,42,0.813888889
21,15,27,0.813888889
21,15,37,0.813888889
24,3,42,0.813888889
24,12,42,0.813888889
3,6,9,0.811111111
3,9,9,0.811111111
3,12,21,0.811111111
3,21,27,0.811111111
6,21,21,0.811111111
9,9,9,0.811111111
12,15,30,0.811111111
12,21,21,0.811111111
15,12,27,0.811111111
15,21,42,0.811111111
15,24,30,0.811111111
24,12,48,0.811111111
24,15,24,0.811111111
24,24,48,0.811111111
3,3,4,0.808333333
3,3,6,0.808333333
3,3,6,0.808333333
3,9,16,0.808333333
3,21,37,0.808333333
6,9,9,0.808333333
9,3,9,0.808333333
9,6,9,0.808333333
9,21,42,0.808333333
12,9,21,0.808333333
12,21,27,0.808333333
15,24,42,0.808333333
15,24,48,0.808333333
21,6,37,0.808333333
21,24,48,0.808333333
24,12,30,0.808333333
24,18,24,0.808333333
24,21,48,0.808333333
3,12,18,0.805555556
6,3,9,0.805555556
9,9,14,0.805555556
9,12,15,0.805555556
9,24,30,0.805555556
12,6,21,0.805555556
12,12,21,0.805555556
12,15,23,0.805555556
12,21,37,0.805555556
12,24,30,0.805555556
15,9,27,0.805555556
18,3,18,0.805555556
18,18,18,0.805555556
18,18,23,0.805555556
18,24,42,0.805555556
21,15,42,0.805555556
24,3,48,0.805555556
24,6,30,0.805555556
24,9,24,0.805555556
3,9,14,0.802777778
3,15,15,0.802777778
9,12,21,0.802777778
9,18,27,0.802777778
12,21,32,0.802777778
15,9,23,0.802777778
15,21,37,0.802777778
18,12,18,0.802777778
21,6,21,0.802777778
21,21,27,0.802777778
24,6,42,0.802777778
24,15,48,0.802777778
24,18,48,0.802777778
24,24,30,0.802777778
6,9,14,0.8
6,12,21,0.8
6,24,30,0.8
9,15,23,0.8
9,21,37,0.8
9,24,48,0.8
15,3,30,0.8
18,21,37,0.8
21,9,21,0.8
24,9,30,0.8
24,21,42,0.8
3,15,23,0.8
6,15,15,0.8
18,18,27,0.8
21,12,27,0.8
21,12,37,0.8
21,18,27,0.8
3,6,6,0.797222222
6,6,6,0.797222222
6,12,15,0.797222222
6,15,23,0.797222222
9,6,16,0.797222222
9,9,12,0.797222222
9,18,23,0.797222222
15,3,15,0.797222222
18,21,21,0.797222222
21,3,37,0.797222222
21,18,37,0.797222222
21,21,21,0.797222222
3,6,8,0.794444444
3,24,30,0.794444444
6,3,6,0.794444444
6,6,11,0.794444444
6,18,23,0.794444444
9,21,21,0.794444444
12,3,21,0.794444444
12,12,15,0.794444444
12,18,23,0.794444444
12,21,42,0.794444444
15,3,23,0.794444444
15,6,23,0.794444444
15,12,30,0.794444444
15,15,30,0.794444444
15,21,21,0.794444444
18,6,27,0.794444444
18,15,23,0.794444444
3,6,11,0.791666667
6,6,8,0.791666667
6,6,12,0.791666667
12,6,15,0.791666667
12,15,15,0.791666667
18,12,23,0.791666667
18,24,30,0.791666667
21,12,21,0.791666667
21,15,21,0.791666667
21,21,37,0.791666667
24,15,30,0.791666667
24,21,30,0.791666667
6,9,12,0.788888889
21,18,21,0.788888889
9,15,30,0.788888889
15,15,23,0.788888889
3,9,12,0.786111111
3,12,15,0.786111111
3,21,21,0.786111111
6,3,11,0.786111111
6,3,12,0.786111111
15,12,23,0.786111111
15,18,23,0.786111111
18,3,23,0.786111111
3,6,12,0.783333333
3,18,23,0.783333333
6,3,8,0.783333333
12,6,12,0.783333333
15,6,30,0.783333333
15,9,15,0.783333333
15,15,15,0.783333333
18,6,23,0.783333333
21,3,21,0.783333333
24,18,30,0.783333333
9,12,12,0.780555556
9,15,15,0.780555556
24,3,30,0.780555556
3,12,12,0.777777778
6,15,30,0.777777778
9,6,12,0.777777778
12,9,12,0.777777778
12,3,12,0.775
12,9,15,0.775
12,12,12,0.775
15,12,15,0.775
18,9,23,0.775
21,24,30,0.775
6,21,37,0.775
9,3,12,0.775
12,3,15,0.772222222
15,6,15,0.766666667
6,12,12,0.763888889
3,3,3,0.752777778
