s2,s0,accuracy
15,30,0.811111111
21,21,0.811111111
12,27,0.811111111
21,42,0.811111111
24,30,0.811111111
12,48,0.811111111
15,24,0.811111111
24,48,0.811111111
3,4,0.808333333
3,6,0.808333333
3,6,0.808333333
9,16,0.808333333
21,37,0.808333333
9,9,0.808333333
3,9,0.808333333
6,9,0.808333333
21,42,0.808333333
9,21,0.808333333
21,27,0.808333333
24,42,0.808333333
24,48,0.808333333
6,37,0.808333333
24,48,0.808333333
12,30,0.808333333
18,24,0.808333333
21,48,0.808333333
12,18,0.805555556
3,9,0.805555556
9,14,0.805555556
12,15,0.805555556
24,30,0.805555556
6,21,0.805555556
12,21,0.805555556
15,23,0.805555556
21,37,0.805555556
24,30,0.805555556
9,27,0.805555556
3,18,0.805555556
18,18,0.805555556
18,23,0.805555556
24,42,0.805555556
15,42,0.805555556
3,48,0.805555556
6,30,0.805555556
9,24,0.805555556
9,14,0.802777778
15,15,0.802777778
12,21,0.802777778
18,27,0.802777778
21,32,0.802777778
9,23,0.802777778
21,37,0.802777778
12,18,0.802777778
6,21,0.802777778
21,27,0.802777778
6,42,0.802777778
15,48,0.802777778
18,48,0.802777778
24,30,0.802777778
9,14,0.8
12,21,0.8
24,30,0.8
15,23,0.8
21,37,0.8
24,48,0.8
3,30,0.8
21,37,0.8
9,21,0.8
9,30,0.8
21,42,0.8
15,23,0.8
15,15,0.8
18,27,0.8
12,27,0.8
12,37,0.8
18,27,0.8
6,6,0.797222222
6,6,0.797222222
12,15,0.797222222
15,23,0.797222222
6,16,0.797222222
9,12,0.797222222
18,23,0.797222222
3,15,0.797222222
21,21,0.797222222
3,37,0.797222222
18,37,0.797222222
21,21,0.797222222
6,8,0.794444444
24,30,0.794444444
3,6,0.794444444
6,11,0.794444444
18,23,0.794444444
21,21,0.794444444
3,21,0.794444444
12,15,0.794444444
18,23,0.794444444
21,42,0.794444444
3,23,0.794444444
6,23,0.794444444
12,30,0.794444444
15,30,0.794444444
21,21,0.794444444
6,27,0.794444444
15,23,0.794444444
6,11,0.791666667
6,8,0.791666667
6,12,0.791666667
6,15,0.791666667
15,15,0.791666667
12,23,0.791666667
24,30,0.791666667
12,21,0.791666667
15,21,0.791666667
21,37,0.791666667
15,30,0.791666667
21,30,0.791666667
9,12,0.788888889
18,21,0.788888889
15,30,0.788888889
15,23,0.788888889
9,12,0.786111111
12,15,0.786111111
21,21,0.786111111
3,11,0.786111111
3,12,0.786111111
12,23,0.786111111
18,23,0.786111111
3,23,0.786111111
6,12,0.783333333
18,23,0.783333333
3,8,0.783333333
6,12,0.783333333
6,30,0.783333333
9,15,0.783333333
15,15,0.783333333
6,23,0.783333333
3,21,0.783333333
18,30,0.783333333
12,12,0.780555556
15,15,0.780555556
3,30,0.780555556
12,12,0.777777778
15,30,0.777777778
6,12,0.777777778
9,12,0.777777778
3,12,0.775
9,15,0.775
12,12,0.775
12,15,0.775
9,23,0.775
24,30,0.775
21,37,0.775
3,12,0.775
3,15,0.772222222
6,15,0.766666667
12,12,0.763888889
3,3,0.752777778
